,Dates,PX_LAST,PX_OPEN,PX_HIGH,PX_LOW,PX_VOLUME,PE_RATIO,PX_TO_BOOK_RATIO,PX_TO_SALES_RATIO,PX_TO_TANG_BV_PER_SH,PX_TO_EBITDA,PX_TO_FREE_CASH_FLOW,next_price,is_up
1911,2676,1476.49,1504.0,1564.7,1474.42,15808700,633.1625,27.7429,10.4426,29.2437,66.9383,292.0954,1495.01,False
1912,2677,1499.11,1501.0,1534.81,1487.0,9426893,642.8626,28.1679,10.6026,29.6917,67.9638,296.5704,1492.99,False
1913,2678,1487.49,1488.0,1513.24,1471.0,7621039,637.8796,27.9496,10.5204,29.4615,67.437,294.2716,1490.83,True
1914,2679,1430.76,1515.0,1517.05,1420.98,12246960,613.5521,26.8837,10.1192,28.3379,64.8651,283.0486,1499.536,False
1915,2682,1485.0,1449.2,1509.81,1444.384,8809346,636.8118,27.9028,10.5028,29.4122,67.3241,293.779,1448.0,False
1916,2683,1487.0,1495.01,1527.41,1462.0,8414990,637.6695,27.9404,10.5169,29.4518,67.4148,294.1746,1396.0,False
1917,2684,1485.02,1492.99,1499.838,1468.31,4978015,636.8204,27.9032,10.5029,29.4126,67.325,293.7829,1470.0,False
1918,2685,1489.58,1490.83,1517.31,1477.26,5992313,638.7759,27.9889,10.5352,29.5029,67.5318,294.685,1611.0,True
1919,2686,1452.71,1499.536,1499.75,1415.01,8896420,622.9649,27.2961,10.2744,28.7727,65.8602,287.391,1664.99,True
1920,2689,1418.57,1448.0,1457.5,1385.84,7522264,608.3247,26.6546,10.033,28.0965,64.3124,280.6371,1677.0,True
1921,2690,1374.39,1396.0,1420.0,1365.0,8625834,589.379,25.8245,9.7205,27.2214,62.3095,271.8969,1898.99,True
1922,2691,1554.76,1470.0,1585.0,1435.0,21898834,666.727,29.2136,10.9962,30.7939,70.4868,307.5797,1865.0,True
1923,2692,1621.0,1611.0,1651.18,1567.26,20425308,695.1327,30.4582,11.4647,32.1058,73.4898,320.684,1860.68,True
1924,2693,1650.71,1664.99,1668.8,1626.64,12577614,707.8732,31.0165,11.6748,32.6943,74.8368,326.5615,2044.76,True
1925,2696,1835.64,1677.0,1845.86,1672.83,20242323,787.1766,34.4913,12.9827,36.357,83.2208,363.1464,2126.275,True
1926,2697,1887.09,1898.99,1923.9,1845.11,16474491,809.2399,35.458,13.3466,37.3761,85.5533,373.3248,1974.89,True
1927,2698,1878.53,1865.0,1911.0,1841.21,12205331,805.5691,35.2972,13.2861,37.2065,85.1652,371.6314,2060.0,True
1928,2699,2001.83,1860.68,2021.99,1857.06,20611796,858.4438,37.6139,14.1581,39.6486,90.7552,396.0239,2180.46,True
1929,2700,2049.98,2044.76,2095.49,2025.05,21489559,879.0919,38.5187,14.4987,40.6023,92.9381,405.5495,2295.12,True
1930,2703,2014.2,2126.275,2129.0,1927.52,20063621,863.7484,37.8464,14.2456,39.8936,91.316,398.4711,444.61,False
1931,2704,2023.34,1974.89,2027.95,1968.0,10658893,867.6679,38.0181,14.3102,40.0747,91.7304,400.2793,502.14,False
1932,2705,2153.17,2060.0,2166.0,2053.629,14239382,923.3429,40.4576,15.2285,42.6461,97.6164,425.9637,478.99,False
1933,2706,2238.75,2180.46,2295.6,2142.5,23693043,960.0421,42.0656,15.8337,44.3411,101.4962,442.8941,407.23,False
1934,2707,2213.4,2295.12,2318.49,2186.52,20081176,949.1713,41.5893,15.6545,43.839,100.3469,437.879,402.81,False
1935,2710,498.32,444.61,500.14,440.11,118415567,213.6943,9.3633,3.5244,9.8698,22.5919,98.5831,402.81,False
1936,2711,475.05,502.14,502.49,470.51,90119419,203.7155,8.9261,3.3598,9.4089,21.5369,93.9796,356.0,False
1937,2712,447.37,478.99,479.04,405.121,96280979,191.8455,8.406,3.1641,8.8607,20.282,88.5036,356.6,False
1938,2713,407.0,407.23,431.8,402.0,87596086,174.5336,7.6474,2.8785,8.0611,18.4518,80.5172,386.21,False
1939,2714,418.32,402.81,428.0,372.02,110321885,179.388,7.8601,2.9586,8.2853,18.965,82.7566,381.94,False
1940,2717,418.32,402.81,428.0,372.02,110321885,179.388,7.8601,2.9586,8.2853,18.965,82.7566,380.95,False
1941,2718,330.21,356.0,368.74,329.88,115465691,141.6038,6.2046,2.3354,6.5402000000000005,14.9704,65.3258,436.56,True
1942,2719,366.28,356.6,369.0,341.51,79465769,157.0717,6.8823,2.5905,7.2546,16.6057,72.4615,439.87,True
1943,2720,371.34,386.21,398.99,360.56,84930608,159.2416,6.9774,2.6263,7.3548,16.8351,73.4625,415.6,True
1944,2721,372.72,381.94,382.5,360.5,60717459,159.8333,7.0033,2.6361,7.3822,16.8977,73.7356,447.94,True
1945,2724,419.62,380.95,420.0,373.3,83020608,179.9454,7.8846,2.9678,8.3111,19.0239,83.0138,453.13,True
1946,2725,449.76,436.56,461.94,430.7,97298228,192.8704,8.4509,3.181,8.908,20.3904,88.9765,429.6,False
1947,2726,441.76,439.87,457.79,435.31,72546760,189.4397,8.3006,3.1244,8.749600000000001,20.0277,87.3938,405.16,False
1948,2727,423.43,415.6,437.79,408.0,76779163,181.5793,7.9562,2.9947,8.3865,19.1967,83.7676,363.8,False
1949,2728,442.15,447.94,451.0,428.8,86406819,189.607,8.3079,3.1271,8.7573,20.0454,87.471,393.47,False
1950,2731,449.39,453.13,455.68,407.07,109476800,192.7117,8.4439,3.1783,8.9007,20.3736,88.9033,424.62,False
1951,2732,424.23,429.6,437.76,417.6,79580795,181.9223,7.9712,3.0004,8.4024,19.2329,83.9258,416.0,False
1952,2733,380.36,405.16,412.15,375.88,95074176,163.1096,7.1469,2.6901,7.5335,17.244,75.247,421.32,True
1953,2734,387.79,363.8,399.5,351.3,96561061,166.2958,7.2865,2.7427,7.6806,17.5809,76.7169,440.76,True
1954,2735,407.34,393.47,408.732,391.3,67208459,174.6794,7.6538,2.8809,8.0679,18.4672,80.5845,421.39,True
1955,2738,421.2,424.62,428.08,415.55,49719561,180.623,7.9143,2.979,8.3424,19.0956,83.3264,423.35,False
1956,2739,419.07,416.0,428.5,411.6,50341404,179.7096,7.8742,2.9639,8.3002,18.999,82.905,423.79,True
1957,2740,429.01,421.32,433.93,420.47,48145566,679.7135,25.294,14.0215,26.141,86.3661,205.6941,419.87,False
1958,2741,448.16,440.76,448.88,434.42,50741454,710.0543,26.423,14.6474,27.3079,90.2213,214.8758,438.44,False
1959,2742,415.09,421.39,439.13,415.0,71430025,657.659,24.4732,13.5666,25.2928,83.5638,199.02,430.13,True
1960,2745,425.68,423.35,433.64,419.33,44722786,674.4375,25.0976,13.9127,25.9381,85.6958,204.0975,442.0,True
1961,2746,413.98,423.79,428.78,406.05,49146259,655.9003,24.4078,13.5303,25.2252,83.3404,198.4878,443.35,True
1962,2747,425.3,419.87,429.9,413.845,43127709,673.8354,25.0752,13.9003,25.9149,85.6193,203.9153,449.78,True
1963,2748,425.92,438.44,439.0,425.3,40421116,674.8178,25.1118,13.9206,25.9527,85.7441,204.2126,450.31,True
1964,2749,434.0,430.13,434.59,426.46,28925656,687.6195,25.5882,14.1846,26.445,87.3707,208.0866,454.44,True
1965,2752,442.3,442.0,448.74,438.58,38791133,700.7698,26.0775,14.4559,26.9508,89.0416,212.0662,446.24,True
1966,2753,446.65,443.35,448.89,436.6,34463665,707.6619,26.334,14.5981,27.2159,89.9173,214.1518,431.75,False
1967,2754,461.3,449.78,465.9,447.35,48045394,730.873,27.1977,15.0769,28.1085,92.8666,221.1759,422.7,False
1968,2755,448.88,450.31,456.57,442.5,35672354,711.195,26.4655,14.671,27.3517,90.3663,215.221,441.92,False
1969,2756,439.67,454.44,455.95,438.85,32775879,696.6029,25.9225,14.37,26.7905,88.5122,210.8052,421.84,False
1970,2759,430.83,446.24,447.0,428.87,36287843,682.597,25.4013,14.081,26.2519,86.7325,206.5667,411.63,False
1971,2760,421.94,431.75,431.75,419.05,31656289,668.5119,24.8771,13.7905,25.7102,84.9428,202.3043,423.76,False
1972,2761,422.64,422.7,432.95,421.25,32370461,669.621,24.9184,13.8134,25.7528,85.0838,202.6399,416.48,False
1973,2762,425.79,441.92,445.23,424.51,39993191,674.6118,25.1041,13.9163,25.9448,85.7179,204.1502,409.96,False
1974,2763,420.63,421.84,422.886,407.38,33716980,666.4364,24.7999,13.7477,25.6304,84.6791,201.6762,406.895,False
1975,2766,420.28,411.63,425.76,410.0,28239161,665.8819,24.7792,13.7362,25.609,84.6087,201.5084,394.0,False
1976,2767,424.68,423.76,430.5,420.1,22686506,672.8531,25.0387,13.88,25.8771,85.4944,203.618,409.73,False
1977,2768,406.02,416.48,418.6,406.0,25451409,643.2887,23.9385,13.2702,24.7401,81.7379,194.6713,430.62,True
1978,2769,410.83,409.96,418.06,406.46,22655308,650.9095,24.2221,13.4274,25.0332,82.7062,196.9775,428.3,True
1979,2770,388.04,406.895,407.592,379.11,42587639,614.8016,22.8784,12.6825,23.6446,78.1183,186.0505,436.1,True
1980,2773,400.51,394.0,406.98,392.3,29021118,634.5587,23.6136,13.0901,24.4044,80.6287,192.0294,439.5,True
1981,2774,423.9,409.73,427.77,406.69,34351715,671.6173,24.9927,13.8545,25.8296,85.3374,203.2441,420.09,True
