,Dates,PX_OPEN,PX_LAST,PX_LOW,PX_HIGH,PX_VOLUME,PE_RATIO,PX_TO_BOOK_RATIO,PX_TO_SALES_RATIO,PX_TO_TANG_BV_PER_SH,PX_TO_EBITDA,PX_TO_FREE_CASH_FLOW
812,812,114.42,113.02,112.56,114.43,24644308,66.4824,6.8124,16.1244,12.3284,34.1276,44.1576
813,813,113.77,113.37,112.75,114.72,20785390,66.6882,6.8335,16.1744,12.3665,34.2333,44.2943
814,814,114.12,114.38,113.97,115.214,19166269,67.2824,6.8943,16.3185,12.4767,34.5383,44.6889
815,815,114.65,113.91,113.61,114.74,14846329,67.0059,6.866,16.2514,12.4254,34.3964,44.5053
816,816,114.37,115.08,113.54,115.09,16176895,67.6941,6.9365,16.4183,12.5531,34.7497,44.9624
817,817,111.01,112.08,111,113.68,40643130,65.9294,6.7557,15.9903,12.2258,33.8438,43.7903
818,818,111.57,108.97,108.23,111.57,36409606,64.1,6.5682,15.5466,11.8866,32.9047,42.5752
819,819,110.63,112.7,110.55,112.75,26813842,66.2941,6.7931,16.0788,12.2934,34.031,44.0325
820,820,113.37,114.16,113.04,114.25,20968273,67.1529,6.8811,16.2871,12.4527,34.4718,44.603
821,821,114.67,114.28,113.67,115.18,23192716,51.2466,6.5098,14.6192,11.1328,29.6496,37.8623
822,822,114.2,114.19,113.81,115.13,14980023,51.2063,6.5047,14.6077,11.124,29.6263,37.8325
823,823,113.94,114,112.97,114.11,14207037,51.1211,6.4939,14.5834,11.1055,29.576999999999998,37.7695
824,824,113.36,116.7,112.97,116.79,24337586,52.3318,6.6477,14.9288,11.3686,30.2775,38.664
825,825,116.63,115.85,115.36,116.97,16623843,51.9507,6.5992,14.8201,11.2858,30.057,38.3824
826,826,116.43,117.24,115.85,117.5,18142597,52.574,6.6784,14.9979,11.4212,30.4176,38.843
827,827,117.71,117.87,117.5,118.7,17711570,52.8565,6.7143,15.0785,11.4825,30.5811,39.0517
828,828,118.63,117.93,117.57,118.72,15217700,52.8834,6.7177,15.0862,11.4884,30.5966,39.0716
829,829,118.39,116.78,116.68,118.4,16207662,52.3677,6.6522,14.939,11.3763,30.2983,38.6906
830,830,117.5,117.29,116.7,117.64,14579736,52.5964,6.6813,15.0043,11.426,30.4306,38.8595
831,831,117.74,116.86,116.58,118.28,16645964,52.4036,6.6568000000000005,14.949300000000001,11.3841,30.319,38.7171
832,832,117.32,119.37,116.89,119.61,20868367,53.5291,6.7998,15.2704,11.6287,30.9702,39.5486
833,833,118.99,120.61,118.66,120.85,21541292,54.0852,6.8704,15.429,11.7495,31.2919,39.9595
834,834,121.25,121.92,120.56,122.2,20046452,54.6726,6.945,15.5966,11.8771,31.6318,40.3935
835,835,121.92,120.61,120.25,122.1,17801663,54.0852,6.8704,15.429,11.7495,31.2919,39.9595
836,836,119.9,121,119.31,121.01,18422410,54.2601,6.8926,15.4789,11.7874,31.3931,40.0887
837,837,121.39,121.63,117.78,121.85,18487449,54.5426,6.9285,15.5595,11.8488,31.5566,40.2974
838,838,122,121.22,120.75,122.07,17611964,54.3587,6.9051,15.507,11.8089,31.4502,40.1616
839,839,122.42,123.34,121.51,125,52654239,55.3094,7.0259,15.7782,12.0154,32.0002,40.864
840,840,127.52,125,123.63,128.33,78955758,56.0538,7.1205,15.9906,12.1771,32.4309,41.4139
841,841,124.65,123.94,123.71,125.84,35058803,55.5785,7.0601,15.855,12.0739,32.1559,41.0627
842,842,123.85,124.31,122.86,124.58,25006850,55.7444,7.0812,15.9023,12.1099,32.2519,41.1853
843,843,124.06,123.09,122.07,124.8,23968414,55.1973,7.0117,15.7462,11.991,31.9354,40.7811
844,844,123.09,122.51,122.31,123.92,18525332,54.9372,6.9786,15.672,11.9345,31.7849,40.589
845,845,122.94,124.36,122.51,124.79,21065974,55.7668,7.084,15.9087,12.1148,32.2649,41.2019
846,846,124.98,125.15,124.618,125.835,20184035,56.1211,7.129,16.0098,12.1917,32.4698,41.4636
847,847,125.25,125.26,124.55,125.45,15233929,56.1704,7.1353,16.0238,12.2024,32.4984,41.5001
848,848,125.34,125.06,124.53,126.09,19620967,56.0807,7.1239,15.9983,12.183,32.4465,41.4338
849,849,125.07,124.88,124.54,125.48,10670148,56,7.1136,15.9752,12.1654,32.3998,41.3742
850,850,125.2,124.9,124.75,125.38,11729519,56.009,7.1148,15.9778,12.1674,32.405,41.3808
851,851,124.7,124.88,124.18,125,12158955,56,7.1136,15.9752,12.1654,32.3998,41.3742
852,852,124.91,123.9,123.7,124.92,19295130,55.5605,7.0578,15.8499,12.07,32.1455,41.0495
853,853,123.5,123.3,122.78,123.92,14222410,55.2915,7.0236,15.7731,12.0115,31.9899,40.8507
854,854,123.66,124.37,122.85,124.38,13794179,55.7713,7.0846,15.91,12.1157,32.2675,41.2052
855,855,124.01,123.91,123.64,124.26,12400816,55.565,7.0584,15.8511,12.0709,32.1481,41.0528
856,856,123.6,123.56,123.28,124.157,11688265,55.4081,7.0384,15.8064,12.0368,32.0573,40.9368
857,857,123.33,124.15,123.11,124.83,14386361,55.6726,7.072,15.8818,12.0943,32.2104,41.1323
858,858,124.51,124.37,124.25,125.09,13309452,55.7713,7.0846,15.91,12.1157,32.2675,41.2052
859,859,124.47,123.48,123.09,124.69,12243719,55.3722,7.0339,15.7961,12.029,32.0366,40.9103
